pub_date	title	venue	excerpt	abstract	citation	doi	url	url_slug	paper_url
2023-01-24	Improved Performance and Stability in Overflow Loss Systems via Exchange of Congestion Information	TechRxiv preprint	Trials the use of congestion information exchange as a form of admission control for stabilising the performance of overflow loss systems in which overflow traffic is penalised with longer average service times.	In systems and networks where overflow is penalized, careful planning is required to prevent a small increase in the offered load from suddenly triggering a system collapse. In this work, we consider an overflow loss system where the service time distribution of a request is dependent on the number of overflows. We propose a novel admission control policy for improving the stabilization and performance of such a system based on a new information exchange mechanism (IEM) for congestion information, in which only a small amount of congestion information is carried by each request and is propagated via the overflow of requests. This avoids the need for an external mechanism for propagating congestion information. Furthermore, IEM is fully compatible with trunk reservation, a simple, classical, yet effective method of admission control in overflow loss systems and networks. Despite the very limited amount of communication overhead required by IEM (only a few bits per request), numerical results demonstrate that the combination of IEM with trunk reservation provides greater performance and stability than trunk reservation alone. We also present a computationally efficient analytical performance evaluation method based on IEM and demonstrate numerically that it is asymptotically exact and generally quite accurate. Therefore, the analytical method can be used for system design and planning.	E. W. M. Wong and **Y. C. Chan**, “Improved performance and stability in overflow loss systems via exchange of congestion information,” *TechRxiv preprint*, Jan. 2023.	10.36227/techrxiv.21908415.v1		wong2023_preprint	/files/wong2023_preprint.pdf
2023-08-28	Stability analysis of an epidemic model with two competing variants and cross-infections	Research Square preprint	Proposes a two-strain epidemiological model with mutations, e.g., for COVID-19, and studies its equilibria and dynamical behaviour under various parameter settings.	The competition between pathogens is an essential issue in epidemiology. As the COVID-19 pandemic persists, new variants mutate resulting in further waves of infections. In this work, we propose a simple two-variant susceptible-infected-removed-susceptible (SIRS) model for studying the competitive epidemic processes. We obtain the global basic reproduction number of our proposed model and show that whether the epidemic persists or diminishes depends on the more contagious of the two variants. Furthermore, by studying the stability of the endemic equilibria, given a specific choice of parameters, we can predict whether either variant will eventually dominate the competitive epidemic process, or if both variants will persist. Numerical results show that periodic solutions become viable if the two variants’ cross-infectivities are unequal, i.e., recovery from one variant offers unequal protection against the other. In other words, reducing the infectivity of a variant via non-pharmaceutical interventions may trigger periodic or even chaotic behavior and paradoxically cause healthcare demand to increase. Note that our model is sufficiently general so as to be used for studying competitive behavior in other areas of science.	R. Niu, **Y.-C. Chan**, S. Liu, E. W. M. Wong, and M. A. van Wyk, “Stability analysis of an epidemic model with two competing variants and cross-infections,” *Research Square preprint*, Aug. 2023.	10.21203/rs.3.rs-3264948/v1		niu2023_preprint	/files/niu2023_preprint.pdf
2024-05-14	Building-Information-Modelling to Discrete-Event-Simulation Integration: Towards the Development of a Space-Process Digital Twin	SSRN preprint	Presents a framework for integrating building information modelling (BIM) data and discrete-event simulation for a digital twin of a healthcare process.	Building Information Modelling (BIM) offers an incredibly rich set of information that can be used across the whole building's life cycle. Though research and applications have largely focused on Facilities and Asset Management, there is still little understanding on how BIM data can have an impact on core business operations. In this article, BIM and Discrete Event Simulation techniques are integrated in a space-process Digital Twin with the goal to determine and control the impact of the spatial layout and built asset performance on the core process throughput. A use case on a multi-storey histopathology laboratory has been developed and the performance loss of the core process due to faulty lifts has been studied. The application of the proposed approach gives the Operations and Facilities Managers evidence of significant increase of the laboratory Turnaround Time (approx. 9.5% on average) when samples are not transported through the optimal route.	N. Moretti, **Y.-C. Chan**, M. Nakaoka, A. Mukherjee, J. Merino, and A. K. Parlikad, “Building Information Modelling to Discrete Event Simulation Integration Towards the Development of a Space-Process Digital Twin”. *SSRN preprint*, May 2024.	10.2139/ssrn.4827727		moretti2024_preprint	/files/moretti2024_preprint.pdf
