title	type	url_slug	venue	date	location	talk_url	description
Performance analysis for overflow loss systems of processor-sharing queues	Conference Proceedings	talk-infocom2015	2015 IEEE Conference on Computer Communications (INFOCOM)	2015-04-26	Hong Kong	https://doi.org/10.1109/INFOCOM.2015.7218518	"Applies the Information Exchange Surrogate Approximation to the blocking probability evaluation of overflow loss networks of processor-sharing queues.

**Authors:** ***Yin-Chi Chan***; Jun Guo; Eric W. M. Wong; Moshe Zukerman

* DOI: [10.1109/INFOCOM.2015.7218518](https://doi.org/10.1109/INFOCOM.2015.7218518)
* PDF: [chan2015_infocom.pdf](/files/chan2015_infocom.pdf)
* Slides: [chan2015_infocom_slides.pdf](/files/chan2015_infocom_slides.pdf)"
A Simulation Model and Dashboard for Predicting Covid-19 Bed Requirements	Conference Proceedings	talk-wsc2023	2023 Winter Simulation Conference	2023-12-13	San Antonio, TX, USA		"Describes the application of discrete event simulation for COVID-19 bed demand prediction at a regional hospital in the East of England, and the development of a dashboard for this purpose.

**Authors:** ***Yin-Chi Chan***, Kaya Dreesbeimdiek, Ajith Kumar Parlikad, Nicholas Matheson, Ben Warne, and Denise Franks

* PDF: [chan2023_wsc.pdf](/files/chan2023_wsc.pdf)
* Slides: [chan2023_wsc_slides.pdf](/files/chan2023_wsc_slides.pdf)"
